Words,W2,W3,W4,W5,W6,W7,W8,W9,W10,W12,W14,W15,W16,W18,W20,W22,W23,W25,W26,W27,W28,W29,W30,W31,W32,W33,W34,W35,W36,W37,W38,W39,W40,W41,W42,W43,W44,W46,W48,W49,W50,W51,W52,W54,W55,W56,W58,W60,W61,W62,W63,W64,W65,W66,W68,W69,W70,W72,W73,W74,W75,W76,W77,W78,W79,W81,W83,W84,W86,W87,W89,W90,W91,W92,W93,W94,W95,W97,W98,W99,W100,W101,W103,W105,W106,W107,W108,W109,W110,W111,W112,W113,W114,W115,W117,W119,W123,W125,W24,W59,,
B11F_Enenga,ɲama,oɣɔ,ombuu,iβambo,odo,iwumu,erola,ɲɔni,noma,ntsina,epa,iwene,βeza,mwana,olumbo towa,yaɣa,raŋga,yuwa,mboa,yoŋga,oroi,ɲa,ike,ndʒɔɣu,intʃo,ozo,βoswa,aɣali,owowa,ovɛɛra,oɣoni,ikoni,ntʃwe ,otaane,loɣwa,nai,myé pâ,mboni,irɔyi ou ntsê selon Odette,orwe,ewondʒo,yɔɣɔ,orɛma,meŋga,naɣu,nzana,isɛrɛ,yuna,iβuβa,suaka,myépámyâ ,oyabi,oɣolo,ìníːní,mbiina,onome,oɣɛli,oɣwana,ina,orɔrɔ,ŋgori,owɛra,ompombo,omori,momori,niiŋgo,okili,orambaka,ezaŋga,ozɛɣɛ,yena,rwaza,ntsɔɔni,yɛmba,ebanda,orowa,antʃoβinu,otutu,omamba,ikondi,yufa,ido,omwɛyi,okweende,iɣomi,ntʃaro,onɛmɛ,inu,erere,mbani,aɲi,ŋka(a)la,roba,ɣɛnda,iɣɔyi,aniŋgo,ompuŋga,mwanto,oɲɛŋge,omwaŋga,,"ALGAB, Collectors: Jean-Marie Hombert, Laboratoire Dynamique du Langage, Lyon, Odette Ambouroue, LLACAN Paris and Mark Van de Velde, LLACAN Paris"
B31_Tsogo,ɲama,oɣɔɣɔ,mɔtɔ,weko,ekɔkɔ,ebuyi,dada,ɲoi,embata,ndzina,ɣepa,ebɛnɛ,etumba,mwana,oboŋge,e-y-a,etaŋga,eɣwa,indzwa,eɲwa,eato,edyea,eboŋgo,ndzɔku,isɔ,oso,eaɣa,madi,osaa,ata,sɔtɔ,ɣesakɔ,eitswe,tae,eβɛa,nae,eitsa,taba,tɔtɔ,osoɣe,motse,eoko,motema,tseba,ɛba,ndzaa,moa,edyoa,ebɔŋgɔ,tsuma,emɛɲa,wabi,motanda,ebumba,ŋgina,momoɣoo,ŋgɔndɛ,moɲa,ina,motɔŋgu,ɣemɛnɔ,pitsi,opombo,pɔkɔ,moma,mbuwa,ndzea,mokaŋgi,βyaŋga,mosiɣɛ,eɛna,etoma,tsɔyi,etoa,moɣɔbɔ,oba,βiyɔ,motutu,ɲɔɣɔ,ekɔŋgɔ,eiswa,etae,kombe,mokondo,ndzima,tato,omɛni,inɔ,ɣetete,bae,maiɲɛ,mboka,eoɣa,ekenga,ebadi,mɛba,ɣepɛpɛ,moɣɛtɔ,epɛmbɛ,mosaɣo,,"ALGAB, Collector: Jean-Marie Hombert, Laboratoire Dynamique du Langage, Lyon"
B32_Kande,eɲama,ŋ̩gɔɣɔ,motɔni,nodyeku,n̩laka,m̩buni,laβa,eɲoɲi,monomaɣa,dindzina,ɣeɣepa,m̩wɛnɛ,mololidyaɣa,omwana,ŋ̩kutʃu,mo-dy-aɣaɣa,motaŋgaɣa,mobwaɣa,emfa,mwoŋgaɣa,n̩toni,mwiɲaɣaɣa,m̩boloŋgo,endzɔɣu,n̩̩tʃɔ,n̩̩tadi,mopokaɣa,mamadi,notʃwala,nodyɛta,βiβoni,ɣesako,entʃwe,ta,moβɛlaɣa,na,mwontsaɣa,etaba,mosɛŋgɛ,notʃoɣe,omotʃwe ,mwoɣaɣo,motema,etʃeba,endako,endzana,omina,?,m̩bɔŋgɔ,etʃuma,moβekaɣa,nodyabi,otanda,nopiko,eŋgina,momenetu,eŋgɔndɛ,owana,n̩na,motɔŋgu,moŋgoŋga,m̩bitʃi,opombo,pɔkɔ,omoma,eɲiŋgo,epɔnɔ,moɣaŋgi,βiβyaŋga,mosiɣe,mwenaɣa,motomaɣa,etʃɔni,motolaɣa,moɣɔbɔ,noloba,βiβinɔ,motutu,eɲɔɣɔ,ŋ̩ŋgɔŋga,mwumfaɣa,n̩tale,ekombe,mokondo,ndzima,tato,nonene,n̩no,ɣetete,bale,mamiɲe,ekala,motoβaɣa,moɣɛndaɣa,ŋ̩ŋgɔbi,maŋgu,m̩pɛpɛ,omwatu,m̩pɛmbɛ,mosaɣu,,"ALGAB, Collectors: Jean-Marie Hombert, Laboratoire Dynamique du Langage, Lyon and Rebecca Grollemund, University of Reading"
B301_Viya,ɣebo,ɣɔɣɔ,mɔtɔ,weko,ekɔkɔ,ebumu,oda,ɲoni,etaβita,tsina,ɣepa,ebɛnɛ,etumba,mwana,oboŋgeboŋge,e-ɛdy-a,etaŋga,eɣwa,mbwa,enwa,eto ,eea,eake,ndzaɣo,iso,oso,elaɣa,madi,osaa,waa,iko,ɣeɣoni,tsue,tani,epurumuɣa,nna,eβana,taba,tɔtɔ,osoɣe,motso,eoko,motema,tseba,ndzobo,ndzaa,moya,ebaŋga,eβɔŋgɔ,tsuma,emɛɲa,wabi,ebɛɔ,ebumba,tsidi,mobaɣa,tsoŋge,munwa,ina,motɔŋgɔ,ɣemeno,pitsi,eeo,mwatata,ima,mbuwa,ndzea,mwaŋgi,βyaŋga,mosɛɣɛ,eɛna,etoma,tsɔni,eemba,moɣɔbɔ,tomba,βiyo,motsutsu,ɲɔɣɔ,eɔŋga,eiba,etae,eombe,moɣea,eɣomi,tato,oleme,ino,mote,bae,masuba,mboka,eoɣa,edyɔ,ebadi,mamba,ɣepɛpɛ,moɣɛtɔ,eβɛmbɛ,mosaɣo,,"ALGAB, Collector: Lolke van der Veen, Laboratoire Dynamique du Langage, Lyon "
B302_Himba,eɲama,oɣɔɣɔ,omitɔ,nodyeko,idaka,ibuyi,ɣedaβeka,eɲɔyi,monomaɣo,dindzina,ɣeɣepa,ibɛnɛ,motumbaɣo,omwana,ikuti,dy-aa,motaŋgaɣo,mwiwaɣa,eifa,mwɔŋgaɣo,itoyi,moɲeaɣo,ibweŋgee,endzɔɣu,itsɔ,oso,mwaɣaɣo,mamadi,notsaa,nodyata,βiβoyi,ɣehako,eitswe,tanɛ,moβɛaɣo,nayi,mwitsaɣo,etaba,mohɛŋgɛ,notsoɣe,omotswɛ ,mwoɣaɣo,motema,notseba,endako,endzana,omina,mobɔkaɣo,ibɔŋgɔ,etsuma,monɔŋgɔnaɣo,nodyabi,otanda,ibumba,eŋgina,monimeto,eŋgɔndɛ,wana,ina,motɔŋgu,moŋgoŋga,imbitsi,nopombo,pɔkɔ,omoma,eniŋgo,epɔnɔ,motamba,βiβyaŋga,mohiɣɛ,mwɛnaɣo,motomaɣo,etsɔyi,motoaɣo,moɣɔbɔ,noba,βiβinɔ,motutu,eɲɔɣɔ,iŋgɔŋga,mwifaɣo,itaɛ,ekombe,mokondo,ndzima,tato,nonenee,ino,ɣetete,bae,mamiɲɛ,ekaa,motoβaɣo,moɣɛndaɣo,ibadi,maiŋgo,ipɛpɛ,omwato,ipɛmbɛ,mohaɣo,,"ALGAB, Collector: Jean-Marie Hombert, Laboratoire Dynamique du Langage, Lyon"
B304_Pinzi,eɲama,oɣɔɣɔ,motɔyi,noneko,laka,buyi,molaβalaβa,eɲɔyi,monomaɣa,nondzina,ɣeɣepa,wɛnɛ,mololedya,omwana,mbitsi,mw-idy-aɣa,motaŋgaɣa,moyiɣwaɣa,efa,mwɔŋgaɣa,toyi,mwiɲaɣa,boŋgo,endzɔɣu,itsɔ,ɣedimo,molaɣaɣa,mamadi,notswala,nonɛta,βiβoyi,ɣesakɔ,itswe,tanɛ,moβɛlaɣa,nayi,mwitsaɣa,etaba,mosɛŋgɛ,notsoɣe,omotswe,mwoɣaɣo,motema,notseba,endako,endzana,omwina,mobɔkaɣa,bɔŋgɔ,etsuma,monɔŋgɔnaɣa,nodyabi,otanda,bumba,eŋgina,momeneto,eŋgɔndɛ,ɣwana,ina,motɔŋgu,moŋgoŋga,epitsi,opombo,pɔkɔ,omomo,eniŋgo,epɔnɔ,moɣaŋgi,βiβyaŋga,mosiɣɛ,mwɛnaɣa,motomaɣa,etsɔyi,motolaɣa,moɣɔbɔ,nooba,βiβinɔ,motsutsu,omamba,ŋgɔŋga,mwifaɣa,tale,ekombe,mokondo,ndzima,tato,nonenele,inɔ,ɣetete,bale,mamiɲɛ,ekala,motoβaɣa,moɣɛndaɣa,badi,meeŋgo,pɛpɛ,omwato,pɛmbɛ,mosaɣo,,"ALGAB, Collectors: Jean-Marie Hombert, Laboratoire Dynamique du Langage, Lyon, Lolke van der Veen, Laboratoire Dynamique du Langage, Lyon and Rebecca Grollemund, University of Reading"
B305_Vove,ɲama,oɣɔɣɔ,mutu,soŋgo,taŋge,ebumu,daβa,ɲɔni,bakaka,ndzina,ɣyepa,ebɛnɛ,tumbaka,mwana,boŋge,dy-aka,taŋgaka,ɣwaka,mbwande,ɲwaka,ito,aka,ekɛyi,ndzao,iso,mbalaŋga,laɣaka,madi,osala,ɣwata,iko,ɣəɣoni,tswe,tane,βɛlaka,nai,kabaka,taba,tɔtɔ,soɣe,motso,okoko,mutema,tseba,ndzobo,indza,muya,bomaka,eβɔŋgɔ,mbɛdi,mɛɲaka,oɣɛya,ebɛɔ,cì-vú,tsidi,ebaɣa,tsoŋge,muɲa,ina,mutɔŋgɔ,muŋgoŋga,eβiti,opombo,pɔkɔ,mutu,mbuwa,ndziya,mwaŋgi,kɛbɔ,musiɣe,ɛnaka,tomaka,tsɔni,sembaka,muɣɔbɔ,loba,βilo,mututu,ɲɔɣɔ,ɔŋgɔ,ibaka,etaa,ombe,muɣɛɛ,ndzima,tato,oleme,ino,mwete,bale,masoba,ombo,bondaka,dyɔkɔ,obadi,mamba,ɣəpɛpɛ,muɣɛtɔ,eβɛmbi,musaɣo,,"ALGAB, Collector: Lolke van der Veen, Laboratoire Dynamique du Langage, Lyon "
B21_Seki ,sí:ŋì,ù:bɔ̂,dìsùbú:kwɛ́,yó:mbù,tà:ɲí,dìbùmù,-nɛ́nɛ́ ,nɔnu,ákò:tɔ̀,màkì:yɔ́,yeesɔ,dìmɛ́:dì,lóolɔ̀ ,mɔ́:nɔ́,ìβè:nzí,áβí:yɔ̀,átá:ŋɔ̀,a-w-ɛ,mbwɛ́:,á-nɔ́:t-ɔ̀,dì:tɔ́,á:dyɛ̀,dike,ndzɔ́:kù,dì:sí,ù:sù,á:kwɛ̀,diβɔmɔ,ì:sá,dì:ɲá,vyɔɔnu,tʃɔɔnu,mwá:mbì,bìtá:nì,a-βɛβ-ɔ,bìnè,á:βɛ̀,imbodu,dʒi,ɲú:ɲɔ ~ nǔwó,mó:tɛ̀,yoǒkɔ̀ ,té:mɔ́,sɛ́:mbwɛ̀,dìtó:ŋɔ̀,dyó:ndɔ́,divu,dìyò ,dibɔ́:ŋú,sá:ká,a-demb-ɔ,mbɔ̀:dú,ùkò:lú,ìsá:bɔ̀,ní:nɔ́,badumu,dà:ŋɔ̀,dù:mbù,dìnɔ̀,dyɔ́:bù,ŋgì:ŋi,utsu,dyoyu,íβɔ́:tɛ̂,ù:mɔ́,mbú:yɔ́,nzé:,ŋkããli,?,disɛɲi,yɛɛ̌nɔ́ .,átó:mɔ̀,ndʒɔnɔ,álá:ŋɔ̀,ikundɔ,dyɔɔbɔ,-dɔ,βí:ɗì,myɔɔwɛ,dìkɔ̀:ŋɔ́,a-yib-ɔ,ditadi,βyó:sá,kó:nzù,dyó:mù,bìtá:tsì,dìdè:mì,dìsò:ŋɔ̀,yetʃi,bì:bà,màsá:ndá,dyà:dí,á:dò,á:kɛ̀,dibà:dí,màdú:kú,pù:ŋgá,mwá:dí,miɲɛŋgɛ,waŋga,,"ALGAB, Collector: Gilbert Puech, Laboratoire Dynamique du Langage, Lyon "
B22a_Kele,tʃitʃi,mbɔ,leʃupək,?,anɔŋe,mɔy,oðabɛ,inɔne,o-kyɛl-yan,lekiða,ayiʃa,lebɛð,o-dyeʃ-ik,myan,mkvu:ta ,o-nʒak,o-laŋg,o-gw-ak,mbya,o-nɔt-ɔk,wɔlɛ,o-dy-ak,dyake,nʒɔk,diʃ,boʃɛ,o-kw-ak,ləwɔŋ,aʃala,aɲal,iya,indolo,ʃɛ,tan,o-ðɛʃ-ik,nay,o-ðɛk,ambol,beʃɔpəkɔ,laʃoyu,laŋgɔk,o-gyot-an,nlem,nlak,mbaŋ,nʒað,myɛð,o-gyok,ləbɔŋɛ,ʃake,o-yek,ikay,ŋkoθo,aʃɛk,lanina,ʃaŋwɛ,ŋgɔnd,gwan,din,lətɔy,kiŋwɛ,mpfom,dyuyu,nwoto,mut,mbvoða,ʒɛða,ŋkaŋga,makemba,leʃɛj,o-gyɛk ~ ugienekɛ ,o-ðɛk,ʃɔn,o-gyak,akonda,ðob,iðɔ,iyalyɛ,ɲɲɔ,ləkɔŋɔ,oyibək,ləkɔke,yuʃa,ŋkondo,dyum,lal,ðaðem,leʃoŋa,gyele,ba,mialye,akolo,o-ðok,o-zand-ɛk,ləbale,madiba,?,omyale,aʃopu,gyobo,,"ALGAB, Collector: Jean-Marie Hombert, Laboratoire Dynamique du Langage, Lyon"
B22b_Ngom ,tutu,m̩bɔ,disupikɛ,ayikwɛ,anɔɔŋ,mɔ̃ĩ,?,inɔni,ukialane ,dikila,alesa,dibɛlɛ,usumbeka ,mwana,ŋ̩gutu,?,?,uguaka,mbwa,unoteko ,gwɔle,?,dyaki,nzɔku,dusu,boswɛ,?,duwɔŋgɔ,disala,aɲala,dvu,yeya,sɛ,?,uyeʃekɛ ,?,uyɛkɛ ,ambudi,bisɔpəko ,lasɔyi,laŋgɔs,ugiu:keka ,nlema,nlaka,alɔŋɛ,nzala,myɛlɛ,ugiu:yika,dibɔŋgɔ,pa,uyileeka ,ikayi,ŋkolwe,asɛku,ninɛ,saŋgwɛ,ŋgɔndi,gwana,dina,ditɔyi,tʃiŋgwɛ,diitike,dyolo,mhutu,mutu,mbula,nzɛla,ŋkaŋga,matʃɛmba,disɛy,ugienekɛ ,?,sɔnu,?,akonda,loba,ilɔ,yadye,iɲɔ,dikɔŋgɔ,?,dikɔku,dyoba,ŋkɔndo,?,?,lalema,disɔŋa,dyele,babã,miɲadye,akodi,?,uyandeka ,dibadi,maŋgu,aŋgɔŋgo,m̩wadi,amwaku,alɛŋga,,"ALGAB, Collectors: Jean-Marie Hombert, Laboratoire Dynamique du Langage, Lyon and Gilbert Puech, Laboratoire Dynamique du Langage, Lyon"
B22b_Koya,tutu,m̩bɔ,disupikyɛ,abagi,anɔŋu,mɔyi,akyeseka,inɔni,u-tʃɔly-ɔ,makiya,ayesa,dibɛlɛ,u-diis-i,mwana,ŋgutʃi,u-nzak-a,u-laŋ-a,u-gw-ak-a,mbwa,u-ɲ-ak-ə,gwɛlɛ,u-dya-ak-a,dyaki,nzɔku,dusu,busyɛ,u-kw-ak-a,diwɔŋ,aasa,aɲala,duu,leya,fiɛ,baatan,?,baanayi,?,ampodi,asɔpikɔ,suyi,aŋgɔs,u-gyo-tanu,lema,lakə,aluŋa,nzaa,mwɛɛ,u-gyok-a,dibɔŋɔ,pa,u-heek-a,ikayi,anama,asyawu,ninɛ,moyom,ŋgɔndyɛ,gwana,dina,ditɔyi,kiŋu,diyitika,dyoyo,ooto,mutu,mbuya,zeya,kaŋa,dikyɛmba,disɛyi,u-gyɛk-ə,u-lom-iya,sɔnu,u-gyak-a,akonda,ooba,iyɔ,yadye,ɲ̩ɲɔ,dikɔŋɔ,?,dikɔku,dyoba,kondo,dyomu,baalal,ayema,disoŋa,gyele,baaba,miɲadye,akodi,u-hep-eka,?,dibadi,maŋgu,aŋgoŋgo,mumwadi,amwaku,aleŋga,,"ALGAB, Collector: Pither Medjo Mve, Université Omar Bongo, Gabon"
B22E_Mwesa,titu,mbɔ,disubye,agwi,anɔ,mɔ̃,?,anɔni,?,maza,ayɛsa,dibɛɛ,?,mwana,gutu,?,?,?,mbwa,?,wɔlɛ,?,dyaki,zɔku,disu,bosu,?,diwɔŋgɔ,disaya,aɲaa,du,lea,syɛ,?,?,?,?,ampodi,alopuku,asyo,diŋkoko,?,lema,nlaka,aloŋwɛ,zaya,mya,?,dibɔ,pa,?,akwa,ko,asɛki,azila,saŋgwɛ,mwɛdi,gwana,dina,ditɔdi,tʃyu,bulu,dyo,?,mutu,mbuya,zea,kaŋga,makɛmba,dikɛnze,?,?,sɔɔnu,?,akonda,yoba,agwɔ,dyadye,ɲɔ,dikɔŋgɔ,?,dikɔku,dyoba,kondu,?,?,ayɛma,digyɛ,gyeli,?,miɲadye,akodi,?,?,dibadi,syo,apupa,mwali,alɔku,akɛ,,"ALGAB, Collector: Jean-Marie Hombert, Laboratoire Dynamique du Langage, Lyon"
B23_Mbangwe,tsitsi,mbɔ,lisubiki,yitəkwɛ,uŋkandi,mɔyi,?,inoni,úlúbìkà ,litsiya,yisi,libɛye,ìdzíkà ,ŋwana,yaŋgotuku,ũŋzákà,?,ùgwákà,mva,?,yawɔle,ùdzákà ,dzaki,nzoku,dzisi,buusu,?,liwɔŋu,isaləka,yaɲayika,dʒu,indʒuli,se,?,?,?,ùyɛ́kɛ̀ ,mbuli,bisɔpəkɔ,yasuyi,mulu,ùdyúkíkà,lima,nlaaka,ndabi,nzaya,ŋweyi,ùdyúi:kà ,libɔŋu,pa,úyĩkĩkà ,ikayi,nama,yabɛmbe,yaɲine,yumi,ŋgyaŋu,gwaana,dzina,litɔyi,tsiŋgi,vəlu,dzuyu,ũŋwútù,mutu,mvya,nziya,ŋkaŋa,makimba,lisɛŋili,ùdyɛ̃nĩkɛ̀,?,?,?,kunda,yuba,m̀búlà,gyale,ɲɔ,likɔŋɔ,?,likoku,litali,ŋkundu,?,?,yayimi,lige,dyili,-bà,miɲale,kuuli,?,ùyàndíkà,libali,maŋga,afupa,ŋwatu,likɔɔkwɛ,ake,,"ALGAB, Collector: Jean-Marie Hombert, Laboratoire Dynamique du Langage, Lyon"
B24_Wumbvu,ɲama,bɔkɔ,iswiiki,ipalu,ilaka,mɔyi,butu,ɲodʒi,u-luw-a,unsu,isi,ibɛlɛ,u-buŋg-a ,ŋwana,liŋgutʃu,yak-a,u-taŋg-a,u-w-a,mvandi,u-ɲw-a,iluyi,u-dʒa,ibi,nzɔku,dʒisa,busu,u-naŋgw-ɛ,iwɔŋgɔ,isala,liɲala,uɲa,likuyi,swi,taaɲi,u-ful-umɛ,nayi,u-kab-a,taba,sɛndʒɛ,liswiyi,muulu,u-yuk-a,unlima,isɛmbɛ,ndaku,nzala,ŋwila,u-bum-a,ibɔŋgɔ,mbɛdʒi,u-yib-a,likayi,kulu,ibalu,sidʒɛ,ibaka,sundʒi,undʒumfu,kumfu,itɔŋgu,tʃuŋgu,pindʒi,dʒulu,ɔɔtu ~ yɔ-kɔtu,mutu,mvula,pɛyi,uŋkaŋga,itsimba,unzɛyi,u-yɛn-ɛ,u-lum-a,sɔɲi,u-yakw-ɛ,uŋkanza,ikulu,mbula,tʃuku,tadʒi,ikɔŋgɔ,u-yub-a,imaɲa,muusa,untsila,iku,satu,ilimi,dʒina,ŋwili,ɔlɛ,miɲɛ,mbuka,u-sutʃ-ɛ,u-land-a,ibadʒi,maŋgu,ipɛpɛ,mwadʒi,inɔkɔ,tsɛyi,,"ALGAB, Collector: Jean-Marie Hombert, Laboratoire Dynamique du Langage, Lyon"
B25_Kota,sito,obɔ,ikuhu,ebayi,dʒako,mwɛɲi,bonɛnɛ,iɲɔdʒi,bo-lum-aka,maza,ehe,ibɛ,bo-tumb-aka,mwana,iŋgutu,bo-y-aka,bo-laŋg-aka,bo-w-aka,mbvwande,bo-ŋw-ak-a,ilɔ,bo-dy-ak-a,itʃɛhi,zɔku,dʒiyɔ,boho,bo-tuw-aka,madʒi,dyaha,oɲa,dʒiyo,weya,fɛ,ntaɲi,bo-saŋg-aka,naɲi,bo-pɛh-ɛtʃyɛ,etaba,hehe,ohuwe,molo,bo-yok-aka,nlema,inlaka,eloŋgwɛ,za,myɛɲa,bo-bom-aka,ibɔŋgɔ,mbɛdʒi,bo-yeb-aka,ikayi,oko,ehɛtʃyɛ,hidʒɛ,haŋgwɛ,ŋgɔndɛ,nhoko,dʒinɔ,itoŋgu,tʃiŋgo,epundu,dʒõũ,yɛkɔ,moto,mbvuwa,pɛyi,ŋkaŋga,matʃyemba,inhɛli,bo-yɛn-ɛtʃyɛ,bo-lom-aka,hɔyi,bo-yemb-aka,ŋkaza,iko,iyɔ,botuku,tadʒi,ikɔŋgɔ,bo-hib-aka,imaɲa,yoyi,ŋkondo,dʒɔ̃ũ,hato,elemi,dʒinɔ,mwele,ba,miɲɛ,mboka,bo-hep-aka,bo-dʒoŋg-aka,ibadʒi,inso,iŋgoŋgo,umwari,inɔkɔ,eleŋga,,"ALGAB, Collector: Jean-Marie Hombert, Laboratoire Dynamique du Langage, Lyon"
B251_Shake,tʃitʃi,mbɔ,risu,yiri,daki,moyu,unɛni,nɔnu,u-gum-a,rikilɛ,yesɔ,ribɛlɛ,u-dzik-ikyɛ,mwata,lɛŋgutʃu,u-zak-ɔ,u-gaŋk-ɔ,u-w-akɔ,mbvwa,u-nɔt-a,riwɔgɛ,u-dʒ-ak-ɔ,dzaki,zɔku,dʒisi,boso,o-dʒum-a,riwɔ̃,salɔ,lɛɲalɔ,dʒutɛ,yeyɔ,sɛ,tanɛ,o-dɛs-a,nayɛ,u-kab-a,tabɔ,misɛỹi,sũ,mogo,u-yok-a,rikɔlɔ,ŋgakɔ,guŋkwɛ,zalɔ,mwelɔ,u-yol-a,ribɔ,pã,u-numbv-ukwa,lɛkayĩ,kolo,sɛki,ninɔ,saŋgwɛ,ŋkɔndʒɛ,ŋwanwɔ,dʒinɔ,ritɔru,kĩ,rintɔ,dʒolo,woto,mutʃu,mbvulɔ,zelɔ,kã,rikempɔ,rikɛzɛ,u-yɛn-a,o-gom-aga,sɔnu,u-yemp-a,kundɔ,dubɔ,utɔ̃ka,yarikyɛ,ɲɔwɛ̃,rikɔ,u-yib-a,rikɔku,yuŋwɛsɛ,kundʒu,dʒomo,gagɛ,lɛdeme,risuŋwɔ,yege,ba,mizari ,koro,u-dow-a,o-lant-a,ribari,maŋku,ripɛpɛ,mwayito,muʒuʒu,kɛ,,"ALGAB, Collector: Jean-Marie Hombert, Laboratoire Dynamique du Langage, Lyon"
B252_Mahongwe,tʃitu,obɔ,ikuhu,ebayi,dʒako,mwɛ̃hi,?,iɲɔdʒi,-tòóná ,maza,ehe,ibɛ,-túmbá ,mwana,iŋgutu,uzako,i-taŋg-aka,i-w-aka,mbwande,nɔ̀ɔ̀tɔ́,-lòòyí,i-dʒ-ak-a,itʃɛyi,zɔku,dʒihɔŋ,boho,?,madʒi,isala,oɲa,weya,weya,fɛ,?,-ʃàmbà,?,-kàbá,etaba,hɛndʒɛ,-húwé,molo,-yóókà,lema,nlaka,eloŋgwɛ,za,mweyaŋ,-bómà ,ibɔŋgɔ,mbɛdʒi,-yéebá ,ikayi,oko,ehɛtʃɛ,hidʒɛ,ndomana,ŋgɔndɛ,huŋko,dʒinɔ,itɔŋgu,tʃiŋgo,epundu,dʒɔŋu,ɔ̀ɔ̀kɔ̀,moto,mbuwa,pɛyi,ikaŋga,matʃemba,hɛli,-yeěné ,?,hɔyi,i-yemb-aka,ŋkaza,iko,iyɔ,otuku,tadʒi,ikɔŋgɔ,?,imaɲa,yoyi,ŋkɔndɔ,?,?,elemi,dʒino,mwele,-ɔɔ̌lɛ́,miɲɛ,mboka,?,-lààlà,ibadʒi,inso,ŋgoŋgu,mwayito,inzuzu,eleŋga,,"ALGAB, Collector: Pither Medjo Mve, Université Omar Bongo, Gabon"
B201_Ndasa,ɲama,bɔkɔ,iswiiku,ipalu,ilaka,mɔyi,ulayi,ɲodzi,u-luw-a,unsu,isi,ibɛlɛ,u-buŋg-asɛ ,ŋwana,liŋgutu,u-y-a,u-tal-a,u-gw-a,mvandi,u-ɲw-a,iluyi,u-dz-a,ibi,nzɔku,dziisi,busu,u-pusw-e,iwɔŋgo,isala,liɲala,uɲa,likuyi,swi,taaɲi,u-ful-umɛ,nayi,u-kab-a,taba,sɛnze,liswiyi,muulu,u-yuk-a,unlima,isɛmvu,ndaku,nzala,ŋwila,u-bum-a,ibɔŋgɔ,mbɛdzi,u-yib-a,likayi,kulu,ibalu,sidzɛ,ibaka,suunzi,undzumvu,kuumvu,itɔŋgu,tsuŋgu,pinzi,dzulu,yotu,mutu,mvula,pɛyi,uŋkaŋga,lɛtsɛ,unzɛyi,u-yɛn-ɛ,u-lum-a,sɔɲi,u-yakw-ɛ,uŋkanza,ikulu,mbula,ivutuku,tadzi,ikɔŋgɔ,u-yib-a,imaɲa,musa,untsila,ku,satu,lilimi,dzini,ŋwili,ɔlɛ,miɲɛ,mbuka,u-sus-ɛ,u-land-a,ibadzi,maŋgu,ipɛpɛ,mwaatu,inɔkɔ,tseyi,,"ALGAB, Collector: Jean-Marie Hombert, Laboratoire Dynamique du Langage, Lyon"
B202_Sigu,ɲá:mà,ébɔ́:kɔ̀,músùbíkì,lípâ:lù,lílá:ká,mó:yì,?,ɲô:dì,?,mú:sù,éβì:sì,líbé:lɔ́,é-ɲɛ́:ŋgy-è ,mwá:nà,líŋgù:tí,é-βy-à,é-tá:ŋg-à,?,mbwá:ndí,é-ɲw-à,lírú:yì,é-dy-à,lí:bí,nzó:kù,diiʃu,líbù:ndzú,é-kw-à,maadi,lítsàlá,líɲá:rà,mú:yá,kwooɲi,swí,bátá:nù,é-pú:b-ùr-w-à,éná:yì,é-mbè,taaba,tɔ̂:tɔ̀,lísù:yí,mû:rù,?,múrí:mà,tsɛ́:mbɔ̀,ndá:kù,nzá:là,mwá:ká,é-bú:m-à,líbɔ̀:ŋgɔ́,mbê:dǐ,?,líká:yì,ékú:lú,líbâ:lì,sídyà,lebaakəla,wɛɛgye,múdúmbù,kú:mbú,mútôrù,kí:ŋgú,epuundu,dyú:lù,?,mú:tù,mbú:lá,pé:yí,múkà:ŋgá,élɛ̀kyè,múnzé:yì,?,é-rí:nd-à,búsó:ɲì,?,múkà:nzá,líkù:lú,βílú,líbú:túkú,tá:dì,likɔɔŋgɔ,?,limaaɲa,mú:sà,múkí:là,dy-ú:mì,bà-sâ:tù,kí:tà,diinu,mwî:rì,myɔ̂:lè,mí:ɲà,mbú:kà,é-lú:k-à,é-lá:nd-à,lìbà:dǐ,má:ŋgú,lípɛ̂:pɛ̀,mwá:tù,múnɔ́:kɔ́,étà:lì,,"Ibouily D (2005) Esquisse phonologique et morphologique du Lisi:wu (Langue Bantu du Gabon de sigle B 27). Mémoire de Maîtrise (Université Omar Bongo, Gabon)."
